date,day,month,year,cases,deaths,popData2020,continente,pais,geoId,pais_code
05/10/2021,5,10,2021,1143,11,8901064,Europe,Austria,AT,AUT
04/10/2021,4,10,2021,1532,5,8901064,Europe,Austria,AT,AUT
03/10/2021,3,10,2021,2000,7,8901064,Europe,Austria,AT,AUT
02/10/2021,2,10,2021,1953,4,8901064,Europe,Austria,AT,AUT
01/10/2021,1,10,2021,1997,6,8901064,Europe,Austria,AT,AUT
30/09/2021,30,9,2021,2536,14,8901064,Europe,Austria,AT,AUT
29/09/2021,29,9,2021,1338,7,8901064,Europe,Austria,AT,AUT
28/09/2021,28,9,2021,1267,5,8901064,Europe,Austria,AT,AUT
27/09/2021,27,9,2021,1556,6,8901064,Europe,Austria,AT,AUT
26/09/2021,26,9,2021,2029,4,8901064,Europe,Austria,AT,AUT
25/09/2021,25,9,2021,1803,10,8901064,Europe,Austria,AT,AUT
24/09/2021,24,9,2021,1708,9,8901064,Europe,Austria,AT,AUT
23/09/2021,23,9,2021,2089,12,8901064,Europe,Austria,AT,AUT
22/09/2021,22,9,2021,1242,17,8901064,Europe,Austria,AT,AUT
21/09/2021,21,9,2021,1162,7,8901064,Europe,Austria,AT,AUT
20/09/2021,20,9,2021,1708,7,8901064,Europe,Austria,AT,AUT
19/09/2021,19,9,2021,2072,5,8901064,Europe,Austria,AT,AUT
18/09/2021,18,9,2021,2235,9,8901064,Europe,Austria,AT,AUT
17/09/2021,17,9,2021,2283,8,8901064,Europe,Austria,AT,AUT
16/09/2021,16,9,2021,2638,8,8901064,Europe,Austria,AT,AUT
15/09/2021,15,9,2021,1859,7,8901064,Europe,Austria,AT,AUT
14/09/2021,14,9,2021,1227,4,8901064,Europe,Austria,AT,AUT
13/09/2021,13,9,2021,1891,0,8901064,Europe,Austria,AT,AUT
12/09/2021,12,9,2021,2431,5,8901064,Europe,Austria,AT,AUT
11/09/2021,11,9,2021,2259,5,8901064,Europe,Austria,AT,AUT
10/09/2021,10,9,2021,2157,3,8901064,Europe,Austria,AT,AUT
09/09/2021,9,9,2021,2505,6,8901064,Europe,Austria,AT,AUT
08/09/2021,8,9,2021,1496,8,8901064,Europe,Austria,AT,AUT
07/09/2021,7,9,2021,1342,7,8901064,Europe,Austria,AT,AUT
06/09/2021,6,9,2021,1729,5,8901064,Europe,Austria,AT,AUT
05/09/2021,5,9,2021,1865,4,8901064,Europe,Austria,AT,AUT
04/09/2021,4,9,2021,1733,7,8901064,Europe,Austria,AT,AUT
03/09/2021,3,9,2021,1549,3,8901064,Europe,Austria,AT,AUT
02/09/2021,2,9,2021,1821,6,8901064,Europe,Austria,AT,AUT
01/09/2021,1,9,2021,1265,1,8901064,Europe,Austria,AT,AUT
